Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",17 Aralık 2024,125,130m²,3+1,1,3,3,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Izmir
"<strong content=""71750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">71.750.000 TL</strong>",17 Aralık 2024,425,525m²,6+1,3,2,,11-15 arası,İkinci El,Klima,1.200.000  TL  (aylık),1  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Dubleksi,Izmir
"<strong content=""2800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.800.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Evet,Arsa Tapulu,,,Arsa Tapulu,Danışman,9,10494,,Izmir
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""1950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.950.000 TL</strong>",17 Aralık 2024,19,,,,4,Zemin Kat,36-40 arası,,Yok,,,Kiracılı,Evet,Kat İrtifakı,,,Kat İrtifakı,Danışman,,,,Izmir
"<strong content=""12000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.000.000 TL</strong>",16 Aralık 2024,150,200m²,4+1,3,3,Müstakil,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""5750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.750.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,12,157,,Izmir
"<strong content=""990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">990.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""3900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.900.000 TL</strong>",17 Aralık 2024,70,80m²,2+1,1,4,1,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Izmir
"<strong content=""1150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.150.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""3575000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.575.000 TL</strong>",16 Aralık 2024,110,120m²,2+1,1,5,En Üst Kat,6-10 arası,İkinci El,Kombi (Doğalgaz),25.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Izmir
"<strong content=""6900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.900.000 TL</strong>",16 Aralık 2024,150,250m²,2+1,2,2,,21-25 arası,İkinci El,Klima,,,Boş,Hayır,,,Eşyalı (Mobilyalı),,Danışman,,,,Izmir
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",16 Aralık 2024,122,130m²,3+1,2,5,3,6-10 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),250  TL  (aylık),Kiracılı,Evet,,,,,,1,25388,Tek Kat,Izmir
"<strong content=""18750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.750.000 TL</strong>",16 Aralık 2024,200,300m²,4+1,3,1,Giriş Katı,3,Sıfır,Kombi (Elektrikli),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""28000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">28.000.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Evet,Müstakil Parsel,,,Müstakil Parsel,,,,,Izmir
"<strong content=""1580000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.580.000 TL</strong>",16 Aralık 2024,85,95m²,2+1,1,4,2,11-15 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,Ara Kat,Izmir
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",16 Aralık 2024,120,,,,4,Zemin Kat,26-30 arası,,Klima,,,Kiracılı,Evet,,,,,,,,,Izmir
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Izmir
"<strong content=""11500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.500.000 TL</strong>",16 Aralık 2024,545,,,,,,,,Yok,,,,Hayır,,,,,,,,,Izmir
"<strong content=""1350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.350.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Izmir
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",16 Aralık 2024,120,,,,4,Zemin Kat,26-30 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""9750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.750.000 TL</strong>",15 Aralık 2024,206,210m²,6+2,3,3,,0,Yapım Aşamasında,Kombi (Doğalgaz),,,Boş,Evet,Kat İrtifakı,,,Kat İrtifakı,,1,793,Tripleks,Izmir
"<strong content=""8250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.250.000 TL</strong>",14 Aralık 2024,150,300m²,3+1,2,3,Müstakil,0,Sıfır,Yok,1  TL  (aylık),1.300  TL  (aylık),Boş,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Tripleks,Izmir
"<strong content=""1850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.850.000 TL</strong>",14 Aralık 2024,75,80m²,2+1,1,4,3,26-30 arası,,Klima,,,Kiracılı,Evet,,,,,,,,,Izmir
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,2,159,,Izmir
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,14,141,,Izmir
"<strong content=""850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">850.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,25,172,,Izmir
"<strong content=""38000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">38.000.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,6,125,,Izmir
"<strong content=""1980000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.980.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,10,9048,,Izmir
"<strong content=""8750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.750.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,Danışman,,,,Izmir
"<strong content=""8750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.750.000 TL</strong>",14 Aralık 2024,110,220m²,2+1,2,2,Müstakil,21-25 arası,,Klima,1  TL  (aylık),800  TL  (aylık),Mülk Sahibi,Evet,Kat Mülkiyeti,,Eşyalı (Mobilyalı),Kat Mülkiyeti,Danışman,,,Bahçe Dubleksi,Izmir
"<strong content=""32000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">32.000.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Izmir
"<strong content=""83580000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">83.580.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Evet,Müstakil Parsel,,,Müstakil Parsel,,10,3104,,Izmir
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Evet,Müstakil Parsel,,,Müstakil Parsel,,7,42,,Izmir
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",14 Aralık 2024,56,,,,3,Giriş Katı,11-15 arası,,Klima,,,Mülk Sahibi,Hayır,,,,,,,,,Izmir
"<strong content=""28750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">28.750.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,Danışman,,,,Izmir
"<strong content=""2300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.300.000 TL</strong>",14 Aralık 2024,90,100m²,2+1,1,4,2,26-30 arası,İkinci El,Yok,0  TL  (aylık),0  TL  (aylık),Boş,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,Ara Kat,Izmir
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",14 Aralık 2024,56,,,,3,Giriş Katı,11-15 arası,,Klima,0  TL  (aylık),0  TL  (aylık),,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,50043,,Izmir
"<strong content=""2900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.900.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,19,26147,,Izmir
"<strong content=""17000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.000.000 TL</strong>",13 Aralık 2024,280,300m²,3+2,2,2,Müstakil,21-25 arası,İkinci El,Kat Kaloriferi,,,Kiracılı,Hayır,İskanı Alınmış,,Eşyasız,İskanı Alınmış,Danışman,2,108,Dubleks,Izmir
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",13 Aralık 2024,98,,,,4,Zemin Kat,26-30 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""16000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">16.000.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Izmir
"<strong content=""1111111"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.111.111 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,Danışman,,,,Izmir
"<strong content=""3350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.350.000 TL</strong>",13 Aralık 2024,100,120m²,3+1,1,3,2,26-30 arası,İkinci El,Yok,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Izmir
"<strong content=""1750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.750.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""1850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.850.000 TL</strong>",13 Aralık 2024,90,95m²,2+1,1,5,2,21-25 arası,İkinci El,Yok,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",13 Aralık 2024,110,120m²,3+1,1,1,Kot 1,26-30 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""1790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.790.000 TL</strong>",13 Aralık 2024,90,95m²,2+1,1,7,Kot 2,26-30 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Hayır,,,,,,,,,Izmir
"<strong content=""1790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.790.000 TL</strong>",13 Aralık 2024,90,95m²,2+1,1,7,Kot 2,26-30 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Hayır,,,,,,,,,Izmir
"<strong content=""1950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.950.000 TL</strong>",13 Aralık 2024,50,55m²,1+1,1,4,Ara Kat,,,Kombi (Doğalgaz),15.000  TL  (aylık),,Boş,Hayır,,,,,,,,Tek Kat,Izmir
"<strong content=""180000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">180.000 TL</strong>",13 Aralık 2024,65,,,,4,Giriş Katı,21-25 arası,,Klima,,,Kiracılı,Hayır,Bilinmiyor,,,Bilinmiyor,Danışman,,,,Izmir
"<strong content=""6250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.250.000 TL</strong>",13 Aralık 2024,95,100m²,3+1,1,3,Kot 2,26-30 arası,İkinci El,Klima,0  TL  (aylık),0  TL  (aylık),,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""5250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.250.000 TL</strong>",12 Aralık 2024,110,120m²,3+1,2,6,6,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,1,25323,,Izmir
"<strong content=""13000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,Müstakil Parsel,,,Müstakil Parsel,Danışman,,,,Izmir
"<strong content=""495000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">495.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""7750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.750.000 TL</strong>",12 Aralık 2024,125,,,,4,Giriş Katı,4,,Yok,30.000  TL  (aylık),,Boş,Evet,Kat İrtifakı,,,Kat İrtifakı,Danışman,,,,Izmir
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,Danışman,116,162,,Izmir
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",12 Aralık 2024,85,100m²,2+1,1,6,3,3,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,Ara Kat,Izmir
"<strong content=""3800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.800.000 TL</strong>",12 Aralık 2024,155,175m²,3+1,1,10-20 arası,8,21-25 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,Ara Kat,Izmir
"<strong content=""5750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.750.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,Danışman,,,,Izmir
"<strong content=""6750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.750.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""2650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.650.000 TL</strong>",12 Aralık 2024,105,115m²,3+1,1,7,5,31-35 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,Ara Kat,Izmir
"<strong content=""8000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.000.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Izmir
"<strong content=""7750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.750.000 TL</strong>",12 Aralık 2024,170,190m²,3+1,2,6,Yüksek Giriş,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Hayır,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",12 Aralık 2024,45,,,,,Zemin Kat,21-25 arası,,Yok,20.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Izmir
"<strong content=""600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">600.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Izmir
"<strong content=""1650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.650.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Evet,Bilinmiyor,,,Bilinmiyor,,,,,Izmir
"<strong content=""4100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.100.000 TL</strong>",11 Aralık 2024,125,135m²,3+1,1,4,2,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Hayır,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Ara Kat,Izmir
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",11 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,Danışman,,,,Izmir
"<strong content=""32000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">32.000.000 TL</strong>",11 Aralık 2024,190,235m²,4+1,3,8,5,1,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Hayır,,,,,,,,Tek Kat,Izmir
"<strong content=""8500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.500.000 TL</strong>",11 Aralık 2024,130,150m²,3+1,2,3,,6-10 arası,,Kombi (Doğalgaz),,,,Evet,,,,,,,,,Izmir
"<strong content=""1230000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.230.000 TL</strong>",11 Aralık 2024,,,,,,,,,,,,,Evet,Hisseli Tapu,,,Hisseli Tapu,,,135,,Izmir
"<strong content=""2350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.350.000 TL</strong>",11 Aralık 2024,80,90m²,2+1,1,5,3,31-35 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Izmir
"<strong content=""6650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.650.000 TL</strong>",10 Aralık 2024,120,160m²,3+1,3,3,Bahçe katı,0,,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Izmir
"<strong content=""8165000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.165.000 TL</strong>",10 Aralık 2024,130,153m²,3+1,2,5,5,1,Sıfır,Yerden Isıtma,0  TL  (aylık),2.000  TL  (aylık),Boş,Evet,,,Eşyasız,,Danışman,,,En Üst Kat,Izmir
"<strong content=""3600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.600.000 TL</strong>",10 Aralık 2024,55,70m²,2+1,1,2,1,0,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,Kat İrtifakı,,,Kat İrtifakı,,1840,515129,Tek Kat,Izmir
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",11 Aralık 2024,82,95m²,2+1,1,4,2,1,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Izmir
