Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""39500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">39.500.000 TL</strong>",14 Aralık 2024,260,350m²,7+1,6 ve üzeri,4,,1,İkinci El,Kombi (Doğalgaz),,0  TL  (aylık),Mülk Sahibi,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,Danışman,,,Tripleks,Istanbul
"<strong content=""12150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.150.000 TL</strong>",7 Aralık 2024,82,128m²,2+1,2,20 ve üzeri,15,,Sıfır,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""525000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">525.000.000 TL</strong>",19 Kasım 2024,850,1146m²,10 ve üzeri,6 ve üzeri,20 ve üzeri,20 ve üzeri,0,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""115500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">115.500.000 TL</strong>",19 Kasım 2024,390,400m²,6+1,5,5,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""2999000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.999.000 TL</strong>",19 Kasım 2024,105,120m²,2+1,1,4,2,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""70000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">70.000.000 TL</strong>",19 Kasım 2024,130,7200m²,3+1,1,1,,1,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Hayır,,,,,,,,Giriş Kat,Istanbul
"<strong content=""250000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">250.000.000 TL</strong>",19 Aralık 2024,,,,,,,,,,,,,Evet,,,,,Danışman,240,,,Istanbul
"<strong content=""14000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.000.000 TL</strong>",18 Aralık 2024,180,194m²,4+1,3,9,5,16-20 arası,İkinci El,Kombi (Doğalgaz),,,,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""5995000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.995.000 TL</strong>",17 Aralık 2024,120,140m²,3+1,1,3,2,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Istanbul
"<strong content=""4200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.200.000 TL</strong>",14 Aralık 2024,85,95m²,2+1,1,5,1,0,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),200  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""19105000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">19.105.000 TL</strong>",7 Aralık 2024,117,184m²,3+1,2,20 ve üzeri,20 ve üzeri,,Sıfır,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""345000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">345.000.000 TL</strong>",19 Kasım 2024,850,900m²,7+2,6 ve üzeri,3,3,0,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""18000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.000.000 TL</strong>",19 Kasım 2024,180,200m²,4+1,3,5,2,26-30 arası,İkinci El,Merkezi Sistem,,,Boş,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Ara Dubleks,Istanbul
"<strong content=""2799000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.799.000 TL</strong>",19 Kasım 2024,105,115m²,2+1,1,4,Giriş Katı,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,Giriş Kat,Istanbul
"<strong content=""15300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.300.000 TL</strong>",19 Kasım 2024,170,960m²,4+2,2,2,Müstakil,26-30 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),,Mülk Sahibi,Hayır,Hisseli Tapu,,Eşyasız,Hisseli Tapu,Danışman,1,2770,Dubleks,Istanbul
"<strong content=""3485000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.485.000 TL</strong>",13 Aralık 2024,75,90m²,2+1,1,5,Giriş Katı,26-30 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Ara Kat,Istanbul
"<strong content=""55550000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">55.550.000 TL</strong>",6 Aralık 2024,460,500m²,6+2,4,3,,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tripleks,Istanbul
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",23 Kasım 2024,55,70m²,1+1,1,3,2,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Istanbul
"<strong content=""85500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">85.500.000 TL</strong>",19 Kasım 2024,270,330m²,5+1,4,5,5,11-15 arası,İkinci El,Kombi (Doğalgaz),150.000  TL  (aylık),5.000  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",19 Kasım 2024,90,100m²,2+1,1,5,1,5,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""15500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.500.000 TL</strong>",13 Aralık 2024,240,250m²,4+2,2,6,,31-35 arası,İkinci El,Kombi (Doğalgaz),,300  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Çatı Dubleksi,Istanbul
"<strong content=""69450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">69.450.000 TL</strong>",5 Aralık 2024,600,700m²,6+3,5,4,,2,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Fourlex,Istanbul
"<strong content=""10500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.500.000 TL</strong>",19 Kasım 2024,330,380m²,,,5,,36-40 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Hayır,Müstakil Parsel,,,Müstakil Parsel,Danışman,,,,Istanbul
"<strong content=""115000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">115.000.000 TL</strong>",19 Kasım 2024,320,400m²,6+1,6 ve üzeri,5,Bahçe katı,11-15 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",25 Kasım 2024,110,130m²,3+1,1,6,Giriş Katı,16-20 arası,İkinci El,Merkezi Sistem,,,Kiracılı,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""40000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">40.000.000 TL</strong>",19 Kasım 2024,,,,,20+,20+,5,,Central System (Heat Share Meter),0  TL  (aylık),0  TL  (aylık),Vacant,Yes,Condominium,,,Condominium,,,,,Istanbul
"<strong content=""69000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">69.000.000 TL</strong>",27 Kasım 2024,350,390m²,6+1,2,10-20 arası,17,16-20 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),250.000  TL  (aylık),13.000  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""65000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">65.000.000 TL</strong>",23 Kasım 2024,200,363m²,4+1,3,20 ve üzeri,11,3,İkinci El,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""105000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">105.000.000 TL</strong>",19 Kasım 2024,350,450m²,7+1,6 ve üzeri,5,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""85500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">85.500.000 TL</strong>",19 Kasım 2024,340,350m²,5+1,5,3,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyalı (Mobilyalı),Kat Mülkiyeti,,,,,Istanbul
"<strong content=""13000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.000.000 TL</strong>",19 Kasım 2024,180,200m²,4+1,3,10-20 arası,1,16-20 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""23300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">23.300.000 TL</strong>",19 Kasım 2024,100,120m²,3+1,2,10-20 arası,1,6-10 arası,İkinci El,Kombi (Doğalgaz),,4.500  TL  (aylık),Kiracılı,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""195000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">195.000.000 TL</strong>",19 Kasım 2024,750,800m²,6+1,6 ve üzeri,3,,6-10 arası,İkinci El,Kombi (Doğalgaz),,0  TL  (aylık),,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""13900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.900.000 TL</strong>",19 Kasım 2024,180,200m²,4+1,3,10-20 arası,1,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Kiracılı,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",19 Kasım 2024,,,,,,6,,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,,,,,,,,,Istanbul
"<strong content=""205000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">205.000.000 TL</strong>",19 Kasım 2024,700,750m²,7+1,3,3,,6-10 arası,İkinci El,Kombi (Doğalgaz),,0  TL  (aylık),,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""82500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">82.500.000 TL</strong>",19 Kasım 2024,290,310m²,5+1,1,5,5,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),8.500  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyalı (Mobilyalı),Kat Mülkiyeti,,,,,Istanbul
"<strong content=""120000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">120.000.000 TL</strong>",19 Kasım 2024,310,400m²,6+1,6 ve üzeri,5,3,11-15 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""4400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.400.000 TL</strong>",19 Kasım 2024,82,110m²,,,5,5,31-35 arası,,,0  TL  (aylık),0  TL  (aylık),Kiracılı,Hayır,,,,,,,,,Istanbul
"<strong content=""650000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">650.000.000 TL</strong>",19 Kasım 2024,1000,1100m²,7+1,6 ve üzeri,3,,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,,,,,Istanbul
"<strong content=""148500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">148.500.000 TL</strong>",19 Kasım 2024,300,320m²,5+1,4,3,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""2200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.200.000 TL</strong>",19 Kasım 2024,65,90m²,2+1,1,5,3,26-30 arası,,,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,Ara Kat,Istanbul
"<strong content=""50500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">50.500.000 TL</strong>",19 Kasım 2024,160,200m²,3+1,3,5,Garden Floor,Between 6-10,Second Hand,Combi Boiler (Natural Gas),0  TL  (aylık),4.500  TL  (aylık),,Yes,Condominium,,Unfurnished,Condominium,,,,,Istanbul
"<strong content=""85000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">85.000.000 TL</strong>",19 Kasım 2024,,,,,7,4,0,,Kombi (Doğalgaz),150.000  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""34250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">34.250.000 TL</strong>",19 Kasım 2024,130,140m²,2+1,2,5,2,11-15 arası,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""177500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">177.500.000 TL</strong>",19 Kasım 2024,300,350m²,5+1,5,10,16,4,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""4100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.100.000 TL</strong>",19 Kasım 2024,100,110m²,3+1,1,6,6,31-35 arası,,,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,,Istanbul
"<strong content=""86250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">86.250.000 TL</strong>",19 Kasım 2024,180,242m²,4+1,3,20 ve üzeri,20 ve üzeri,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""92500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">92.500.000 TL</strong>",19 Kasım 2024,250,275m²,4+1,4,5,5,6-10 arası,İkinci El,Kombi (Doğalgaz),45.000  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyalı (Mobilyalı),Kat Mülkiyeti,,,,,Istanbul
"<strong content=""213500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">213.500.000 TL</strong>",19 Kasım 2024,640,650m²,6+2,6 ve üzeri,3,,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""99000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">99.000.000 TL</strong>",19 Kasım 2024,250,346m²,5+1,4,20 ve üzeri,20 ve üzeri,0,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""210500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">210.500.000 TL</strong>",19 Kasım 2024,,,,,20 ve üzeri,Bahçe katı,6-10 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""290000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">290.000.000 TL</strong>",19 Kasım 2024,600,1000m²,6+1,4,3,,5,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,,Istanbul
"<strong content=""550000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">550.000.000 TL</strong>",19 Kasım 2024,1000,1100m²,7+1,6 ve üzeri,3,,21-25 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Istanbul
"<strong content=""215000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">215.000.000 TL</strong>",19 Kasım 2024,650,750m²,6+2,6 ve üzeri,3,,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,,,,,Istanbul
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",19 Aralık 2024,150,160m²,3+2,2,3,3,0,Sıfır,Kombi (Doğalgaz),25.000  TL  (aylık),100  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,,Istanbul
"<strong content=""1600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.600.000 TL</strong>",19 Aralık 2024,80,90m²,2+1,1,5,Çatı Katı,26-30 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Hayır,Hisseli Tapu,,Eşyasız,Hisseli Tapu,Danışman,,,Ara Kat,Istanbul
"<strong content=""1950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.950.000 TL</strong>",19 Aralık 2024,90,100m²,2+1,1,3,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),13.000  TL  (aylık),100  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Bahçe Katı,Istanbul
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",19 Aralık 2024,88,100m²,2+1,2,5,2,,,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Istanbul
"<strong content=""9800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.800.000 TL</strong>",19 Aralık 2024,100,110m²,3+1,2,4,1,,Sıfır,Kombi (Doğalgaz),75.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",19 Aralık 2024,150,160m²,3+2,2,5,5,6-10 arası,,Kombi (Doğalgaz),24.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,En Üst Kat,Istanbul
"<strong content=""30000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">30.000.000 TL</strong>",19 Aralık 2024,110,150m²,3+1,2,20 ve üzeri,14,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Kiracılı,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""500000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">500.000.000 TL</strong>",19 Aralık 2024,,,,,8,1,,,Yok,,,,Hayır,,,,,,,,,Istanbul
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",19 Aralık 2024,70,80m²,2+1,1,4,Yüksek Giriş,,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""17000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.000.000 TL</strong>",19 Aralık 2024,95,115m²,2+1,2,20 ve üzeri,3,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""16500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">16.500.000 TL</strong>",19 Aralık 2024,130,180m²,3+1,2,10-20 arası,7,3,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""29750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">29.750.000 TL</strong>",19 Aralık 2024,350,375m²,5+2,3,3,2,16-20 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Çatı Dubleksi,Istanbul
"<strong content=""3300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.300.000 TL</strong>",19 Aralık 2024,95,110m²,3+1,1,5,4,36-40 arası,İkinci El,Kombi (Doğalgaz),,150  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Istanbul
